Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,28,47
2004-02,73,24,47
2004-03,66,23,45
2004-04,69,21,45
2004-05,72,22,43
2004-06,65,21,44
2004-07,59,21,45
2004-08,58,26,44
2004-09,56,26,45
2004-10,51,22,43
2004-11,49,21,43
2004-12,42,22,40
2005-01,68,32,44
2005-02,57,27,46
2005-03,55,26,44
2005-04,56,24,46
2005-05,57,24,42
2005-06,56,24,43
2005-07,54,24,44
2005-08,51,27,44
2005-09,47,26,43
2005-10,47,25,43
2005-11,41,25,40
2005-12,37,24,37
2006-01,64,32,43
2006-02,51,29,43
2006-03,51,28,50
2006-04,52,25,45
2006-05,50,25,46
2006-06,51,23,44
2006-07,52,28,45
2006-08,49,29,44
2006-09,46,30,45
2006-10,44,28,47
2006-11,43,27,45
2006-12,37,27,38
2007-01,57,36,46
2007-02,50,31,49
2007-03,52,32,48
2007-04,52,30,49
2007-05,50,31,48
2007-06,51,32,47
2007-07,49,31,49
2007-08,44,32,52
2007-09,46,32,49
2007-10,43,28,52
2007-11,38,26,51
2007-12,36,27,43
2008-01,54,35,53
2008-02,47,30,52
2008-03,49,29,50
2008-04,48,28,52
2008-05,44,27,49
2008-06,43,28,49
2008-07,44,28,51
2008-08,46,32,49
2008-09,41,33,63
2008-10,42,29,74
2008-11,40,28,55
2008-12,35,27,52
2009-01,53,36,56
2009-02,45,30,57
2009-03,48,30,61
2009-04,48,27,60
2009-05,48,28,54
2009-06,47,29,57
2009-07,44,28,55
2009-08,47,30,58
2009-09,46,31,59
2009-10,45,28,55
2009-11,42,28,52
2009-12,40,27,47
2010-01,58,37,54
2010-02,51,31,52
2010-03,51,30,52
2010-04,52,29,57
2010-05,50,28,54
2010-06,48,28,53
2010-07,49,29,50
2010-08,48,32,51
2010-09,47,31,53
2010-10,45,29,51
2010-11,42,29,49
2010-12,37,29,45
2011-01,58,38,46
2011-02,50,33,49
2011-03,54,34,54
2011-04,56,31,50
2011-05,57,32,50
2011-06,54,31,47
2011-07,53,30,50
2011-08,48,34,57
2011-09,51,35,51
2011-10,49,32,49
2011-11,49,34,47
2011-12,44,33,43
2012-01,65,43,44
2012-02,57,36,47
2012-03,56,34,47
2012-04,57,36,44
2012-05,53,34,47
2012-06,56,35,43
2012-07,54,36,45
2012-08,55,38,44
2012-09,51,39,46
2012-10,45,35,48
2012-11,45,34,43
2012-12,42,33,37
2013-01,64,43,46
2013-02,60,39,46
2013-03,58,38,47
2013-04,59,39,47
2013-05,54,37,47
2013-06,56,38,47
2013-07,55,40,45
2013-08,53,39,47
2013-09,54,38,46
2013-10,47,37,49
2013-11,45,36,43
2013-12,42,35,41
2014-01,63,47,45
2014-02,52,43,48
2014-03,54,42,48
2014-04,53,40,45
2014-05,52,40,44
2014-06,49,39,45
2014-07,47,39,46
2014-08,47,40,44
2014-09,46,42,49
2014-10,42,39,48
2014-11,43,38,43
2014-12,38,38,43
2015-01,50,47,44
2015-02,50,44,48
2015-03,51,45,47
2015-04,48,40,46
2015-05,47,41,45
2015-06,48,42,44
2015-07,46,44,48
2015-08,46,44,48
2015-09,44,44,48
2015-10,44,40,46
2015-11,40,41,42
2015-12,36,42,40
2016-01,51,54,43
2016-02,48,46,47
2016-03,47,46,43
2016-04,48,44,42
2016-05,47,47,42
2016-06,44,47,46
2016-07,47,56,43
2016-08,44,52,42
2016-09,42,48,43
2016-10,38,44,41
2016-11,39,44,44
2016-12,35,44,40
2017-01,52,56,43
2017-02,56,51,44
2017-03,52,50,44
2017-04,49,48,42
2017-05,49,49,43
2017-06,46,51,42
2017-07,50,52,44
2017-08,47,53,44
2017-09,45,52,47
2017-10,44,48,47
2017-11,42,46,48
2017-12,39,46,52
2018-01,58,59,56
2018-02,54,53,50
2018-03,57,52,49
2018-04,56,49,46
2018-05,55,49,47
2018-06,51,49,44
2018-07,54,50,45
2018-08,50,52,46
2018-09,49,50,46
2018-10,47,44,49
2018-11,43,51,45
2018-12,41,48,41
2019-01,64,58,45
2019-02,53,53,48
2019-03,53,51,46
2019-04,52,49,44
2019-05,48,47,44
2019-06,47,50,47
2019-07,48,51,49
2019-08,46,51,55
2019-09,43,53,50
2019-10,43,47,51
2019-11,42,52,48
2019-12,36,48,47
2020-01,52,59,55
2020-02,49,55,62
2020-03,35,50,76
2020-04,36,38,62
2020-05,43,37,65
2020-06,42,44,66
2020-07,44,43,63
2020-08,41,45,59
2020-09,42,45,61
2020-10,35,42,56
2020-11,33,39,55
2020-12,33,40,54
2021-01,43,42,59
2021-02,36,40,65
2021-03,37,41,62
2021-04,36,45,57
2021-05,36,44,58
2021-06,35,46,58
2021-07,34,47,55
2021-08,33,47,54
2021-09,32,47,59
2021-10,31,44,55
2021-11,29,46,55
2021-12,30,44,52
2022-01,37,52,57
2022-02,34,50,60
2022-03,35,49,59
2022-04,33,46,56
2022-05,33,46,58
2022-06,34,50,58
2022-07,31,51,54
2022-08,31,50,59
2022-09,29,49,56
2022-10,28,48,53
2022-11,29,51,55
2022-12,26,48,50
2023-01,34,60,55
